SCAN_ID,SSID,BSSID,CHANNEL,RSSI
3,TFMARQUES ,3E:64:CF:2C:30:8E,4,-91
3,APTO_501,44:3B:32:45:1D:DC,6,-91
3,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-92
3,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-92
3,Maison_liberte,80:85:44:A4:4A:64,3,-92
3,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-92
3,MariaLuiza_2G-IoT,0A:C7:F5:03:7A:90,1,-93
3,fernandaRafael,3C:F9:F0:A6:69:06,3,-93
3,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-93
3,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-93
3,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-93
3,1301T2,D8:E8:44:AB:28:6E,8,-93
3,SIARA,48:96:D9:57:03:3E,10,-93
3,CURUMIN,80:2D:1A:51:7B:E2,11,-93
3,Bichinho-mesh,38:16:5A:48:97:84,7,-94
3,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-94
3,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-94
3,lola,80:2D:1A:50:18:8A,6,-95
3,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-95
3,CLARO_NET,24:E4:CE:8C:77:89,11,-97
END_SCAN
4,TFMARQUES ,3E:64:CF:2C:34:3A,4,-61
4,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-61
4,RANDY2G,08:C7:F5:2F:2B:64,1,-77
4,Celso_2G,E8:D2:FF:A5:B5:9B,7,-80
4,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-80
4,Medeiros85,08:C7:F5:03:20:F2,1,-83
4,CHIODINI,24:E4:CE:8C:C0:C1,11,-84
4,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-84
4,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-87
4,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-87
4,Ap1004TPLK,DE:62:79:25:48:6E,8,-87
4,MANUELA,80:2D:1A:4F:EA:82,6,-88
4,1301T2,D8:E8:44:AB:28:6E,8,-88
4,lrhome_2G,58:2F:F7:9B:67:9E,1,-89
4,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-89
4,DULCEMOURA,30:1F:48:56:5A:80,6,-89
4,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-90
4,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-90
4,VIVOFIBRA-EF78_EXT,B0:BE:76:38:A1:F3,1,-91
4,TFMARQUES ,3E:64:CF:2C:30:8E,4,-91
4,APTO_501,44:3B:32:45:1D:DC,6,-91
4,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-91
4,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-91
4,fernandaRafael,30:1F:48:54:4C:50,11,-91
4,CURUMIN,80:2D:1A:51:7B:E2,11,-92
4,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-93
4,fernandaRafael,3C:F9:F0:A6:69:06,3,-93
4,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-93
4,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-93
4,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-94
4,Maison_liberte,80:85:44:A4:4A:64,3,-95
4,SIARA,48:96:D9:57:03:3E,10,-95
4,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-96
END_SCAN
5,TFMARQUES ,3E:64:CF:2C:34:3A,4,-62
5,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-63
5,RANDY2G,08:C7:F5:2F:2B:64,1,-79
5,Celso_2G,E8:D2:FF:A5:B5:9B,7,-81
5,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-82
5,CHIODINI,24:E4:CE:8C:C0:C1,11,-83
5,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-83
5,Medeiros85,08:C7:F5:03:20:F2,1,-85
5,Familia Nicolau Hübner,CC:32:E5:04:BB:F2,5,-87
5,DULCEMOURA,30:1F:48:56:5A:80,6,-87
5,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-88
5,MANUELA,80:2D:1A:4F:EA:82,6,-88
5,lrhome_2G,58:2F:F7:9B:67:9E,1,-89
5,VIVOFIBRA-WIFI6-37D8,E8:45:8B:63:37:D8,6,-89
5,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-90
5,TFMARQUES ,3E:64:CF:2C:30:8E,4,-90
5,Ap1004TPLK,DE:62:79:25:48:6E,8,-90
5,MariaLuiza_2G-IoT,0A:C7:F5:03:7A:90,1,-91
5,#CLARO-WIFI,5A:2F:F7:9B:69:9F,1,-91
5,Maison_liberte,80:85:44:A4:4A:64,3,-91
5,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-91
5,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-91
5,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-91
5,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-91
5,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-91
5,#CLARO-WIFI,3E:F9:F0:68:7A:FB,2,-92
5,fernandaRafael,3C:F9:F0:A6:69:06,3,-92
5,APTO_501,44:3B:32:45:1D:DC,6,-92
5,fernandaRafael,30:1F:48:54:4C:50,11,-92
5,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-93
